"PA1" "PA2" "PA3" "PA4" "PA5" "PA6" "PA7" "PA8" "PA9" "PA10" "country" "modality" "category" "circle" "region" "phase"
"AU-TW-2014_05_3.txt" -0.759165423778624 -0.486348808631953 -0.770446283624834 -0.848577856156982 -0.302551045283255 -0.46923881049409 -0.426178113401791 -0.700198559070506 -0.592214212406941 0.108596285027905 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_05_4.txt" -0.455505179791391 -0.851228816364758 -0.0664548109698007 0.269534297549505 0.105270492997126 0.327894204404987 0.576580975950425 -0.0669288819672011 -0.68554504037402 0.493155265977999 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_05_5.txt" -0.611466176401169 -0.720611385713243 -0.496399064514911 0.156069439259657 0.477528367689722 -0.0407262087027008 0.0398446437117657 -0.434466514019217 -0.339747957441859 0.370236011545503 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_06_1.txt" -0.719004911609592 -0.784721843372671 -0.456144572831059 0.172167137390618 -0.218723124839309 -0.018539794658992 0.808500517328861 -0.167092140411759 -1.02635753106865 0.102101745710428 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_06_2.txt" -0.743777457476072 -0.562417011840597 -0.222252386904475 0.205084350418565 -0.0656001194553501 -0.199694371774205 1.08243593646673 -0.17348912658211 -1.09571539089955 0.267188656633959 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_06_3.txt" -0.666965174888774 -0.815549469765643 -0.571973477286791 0.0843996992024133 -0.447112496644205 0.064418977360914 0.741951621591588 -0.418010994511339 -0.779766125279436 -0.077967795062231 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_06_4.txt" -0.526464625754522 -1.07492403038357 -0.528125031286279 -0.211316806003244 -0.10500216370845 -0.159261185872789 0.626969278256519 -0.643545681875798 -0.577620804867585 0.0451661255227562 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_06_5.txt" -0.674977605046927 -0.627671777381991 -0.292093785962415 0.0243810659485177 0.307514696433698 -0.116093122723377 0.762079485199496 -0.356159373782332 -0.807028896216839 0.247587880387186 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_07_1.txt" -0.550919617938312 -0.711047202178395 -0.781157247627367 -0.704982018248135 -0.293207425528828 -0.664042631249241 0.27277304601994 -0.813354468858764 -0.762724558848208 -0.410078952317186 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_07_2.txt" -0.630681352442429 -0.650926323825853 -0.796474297973127 -0.311992000316133 0.0180300293357466 -0.268034565542617 0.841775687412759 0.0474897050696208 -0.760552352959389 -0.222977350099125 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_07_3.txt" -0.707691839479064 -0.520379534700967 -1.02306325075575 -0.546884466231353 1.09255311457014 -0.283198289399868 0.33632972726332 0.038113961858369 -0.551199903605956 -0.307393875530769 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_07_4.txt" -0.694823673401181 -0.35482652094813 -0.550874295113885 0.103715934611439 0.464422960683654 -0.388201922450226 0.181287167681439 0.211256109304078 -0.0256801952372651 0.412764563649816 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_07_5.txt" -0.526311896238125 -0.701390744144675 -0.537262449857327 -0.0522492787815465 -0.143903637540755 -0.324743613320963 0.389677500440379 -0.0905863899288485 -0.483747729942012 0.284708882028228 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_08_1.txt" -0.836175834911691 -0.586127948790209 -0.638087648976333 -0.308052836254736 -0.130314239514456 -0.668090753673334 0.539492510029036 -0.310579045427917 -0.300567171084466 0.00951036551224253 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_08_2.txt" -0.616822227141487 -0.773994645723867 -0.233653400707804 0.174872717029565 -0.411845179466268 -0.102248136376798 0.855517439637731 0.0473309426675727 -0.605497808864643 -0.0159240249111124 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_08_3.txt" -0.690830030000476 -0.405330602718758 -0.429793530963521 -0.596479705104767 0.370262773660913 0.18586775870763 0.490607207388222 -0.158009457857904 -0.834846940841477 -0.150300904201489 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_08_4.txt" -0.618934920232187 -0.408863248625938 -0.254420280349409 0.233176981083001 -0.114457539247918 -0.067317912258896 0.95052219244065 -0.544346891323369 -0.773289509727011 0.553972638045351 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
